nodes,100.000000,113.000000,127.000000,143.000000,160.000000,180.000000,203.000000,229.000000,257.000000,289.000000,326.000000,367.000000,412.000000,464.000000,522.000000,588.000000,661.000000,744.000000,838.000000,943.000000,1061.000000,1194.000000,1343.000000,1512.000000,1701.000000,1914.000000,2154.000000,2424.000000,2728.000000,3070.000000,3455.000000,3888.000000,4375.000000,4924.000000,5541.000000,6236.000000,7017.000000,7897.000000,8886.000000,10000.000000
driver-CR1-1000p-dec_payld-base-tx_power_mw,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000
driver-CR1-1000p-dec_payld-base-attenuation_linear,8.581933e-16,7.667081e-16,7.574508e-16,7.768444e-16,7.912764e-16,7.936239e-16,7.831789e-16,7.897051e-16,8.248158e-16,8.480976e-16,8.655780e-16,8.592991e-16,8.635888e-16,8.636561e-16,8.313824e-16,8.139807e-16,8.005859e-16,8.061324e-16,8.270738e-16,8.385620e-16,8.370145e-16,8.477310e-16,8.504041e-16,8.613467e-16,8.579170e-16,8.553344e-16,8.481942e-16,8.507222e-16,8.518596e-16,8.413749e-16,8.413975e-16,8.416507e-16,8.443018e-16,8.447027e-16,8.415644e-16,8.440848e-16,8.418770e-16,8.423327e-16,8.419223e-16,8.394184e-16
driver-CR1-1000p-dec_payld-base-attenuation_db,149.455437,149.682544,149.705832,149.704750,149.658468,149.651075,149.680144,149.655770,149.582621,149.531231,149.495824,149.511150,149.503367,149.517618,149.570798,149.587563,149.609330,149.598990,149.570982,149.551998,149.562876,149.544785,149.527605,149.508945,149.514150,149.520828,149.536473,149.530494,149.529267,149.552471,149.555927,149.550993,149.544621,149.543054,149.544989,149.543238,149.543904,149.545074,149.545174,149.551760
driver-CR1-1000p-dec_payld-base-rx_power_mw,2.777059e-10,2.481019e-10,2.451063e-10,2.513819e-10,2.560520e-10,2.568117e-10,2.534317e-10,2.555436e-10,2.669051e-10,2.744390e-10,2.800956e-10,2.780637e-10,2.794519e-10,2.794736e-10,2.690301e-10,2.633990e-10,2.590645e-10,2.608593e-10,2.676358e-10,2.713534e-10,2.708526e-10,2.743204e-10,2.751854e-10,2.787263e-10,2.776165e-10,2.767808e-10,2.744703e-10,2.752883e-10,2.756564e-10,2.722636e-10,2.722709e-10,2.723528e-10,2.732107e-10,2.733404e-10,2.723249e-10,2.731405e-10,2.724261e-10,2.725735e-10,2.724407e-10,2.716305e-10
driver-CR1-1000p-dec_payld-base-rx_power_dbm,-96.227783,-96.589351,-96.611268,-96.481514,-96.433121,-96.422991,-96.448563,-96.450754,-96.295470,-96.195756,-96.111427,-96.154680,-96.139462,-96.123634,-96.283369,-96.389978,-96.460916,-96.435187,-96.324632,-96.268077,-96.262613,-96.204215,-96.205950,-96.156074,-96.168128,-96.175874,-96.204408,-96.195731,-96.190729,-96.233228,-96.226637,-96.233543,-96.225138,-96.224597,-96.247102,-96.233238,-96.249234,-96.246054,-96.247268,-96.257232
driver-CR1-1000p-dec_payld-base-noise_power_mw,9.642472e-12,9.642573e-12,9.642709e-12,9.642241e-12,9.642208e-12,9.642015e-12,9.642471e-12,9.642380e-12,9.642597e-12,9.642711e-12,9.642227e-12,9.642361e-12,9.642477e-12,9.642483e-12,9.642018e-12,9.642141e-12,9.642251e-12,9.642247e-12,9.642622e-12,9.642642e-12,9.642535e-12,9.642174e-12,9.642588e-12,9.642325e-12,9.642535e-12,9.642361e-12,9.641998e-12,9.642593e-12,9.642019e-12,9.642484e-12,9.642381e-12,9.642550e-12,9.642512e-12,9.642000e-12,9.642570e-12,9.642233e-12,9.642132e-12,9.642643e-12,9.641970e-12,9.642975e-12
driver-CR1-1000p-dec_payld-base-total_power_mw,2.934141e-10,2.602368e-10,2.554012e-10,2.619967e-10,2.691127e-10,2.695679e-10,2.645835e-10,2.685708e-10,2.793164e-10,2.883045e-10,2.959425e-10,2.953346e-10,2.974201e-10,2.972790e-10,2.889314e-10,2.840226e-10,2.815396e-10,2.842653e-10,2.941158e-10,2.994791e-10,3.020545e-10,3.075620e-10,3.116817e-10,3.198667e-10,3.182909e-10,3.232411e-10,3.252881e-10,3.336387e-10,3.394725e-10,3.423876e-10,3.533807e-10,3.588994e-10,3.721371e-10,3.794575e-10,3.932010e-10,4.066594e-10,4.228317e-10,4.383464e-10,4.601106e-10,4.783398e-10
driver-CR1-1000p-dec_payld-base-interference_mw,6.153278e-12,2.584532e-12,7.637118e-13,1.070745e-12,3.503083e-12,3.227013e-12,1.603591e-12,3.478357e-12,2.886058e-12,4.319728e-12,6.295753e-12,7.723199e-12,8.425563e-12,8.254253e-12,1.035486e-11,1.106848e-11,1.291767e-11,1.383597e-11,1.691618e-11,1.856244e-11,2.162419e-11,2.366983e-11,2.692213e-11,3.156001e-11,3.109247e-11,3.687092e-11,4.122722e-11,4.875231e-11,5.421296e-11,6.051690e-11,7.150271e-11,7.693100e-11,8.930930e-11,9.649614e-11,1.112526e-10,1.238925e-10,1.407766e-10,1.561402e-10,1.780358e-10,1.970729e-10
driver-CR1-1000p-dec_payld-base-snr_db,13.930333,13.568720,13.546741,13.676706,13.725114,13.735331,13.709554,13.707403,13.862589,13.962252,14.046799,14.003487,14.018652,14.034477,13.874952,13.768287,13.697299,13.723030,13.833417,13.889962,13.895475,13.954035,13.952114,14.002108,13.989960,13.982291,13.953921,13.962331,13.967592,13.924883,13.931521,13.924538,13.932960,13.933732,13.910970,13.924986,13.909035,13.911985,13.911074,13.900658
driver-CR1-1000p-dec_payld-base-sinr_db,13.432350,13.178461,13.378489,13.500474,13.303921,13.332114,13.401182,13.210548,13.311492,13.373113,13.307497,13.067311,13.001112,12.971779,12.663803,12.281253,11.984117,12.059157,11.848355,11.706030,11.390922,11.253869,10.894631,10.719134,10.531112,10.085184,9.714713,9.122303,8.664068,8.178057,7.550923,7.163515,6.457140,6.058418,5.496081,4.836841,4.139114,3.592985,2.930381,2.421590
driver-CR1-1000p-dec_payld-rlydd-tx_power_mw,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000
driver-CR1-1000p-dec_payld-rlydd-attenuation_linear,7.497101e-16,7.498780e-16,7.827515e-16,7.965531e-16,8.105996e-16,7.768786e-16,7.680761e-16,8.071297e-16,8.333602e-16,8.713384e-16,8.652380e-16,8.627245e-16,8.640381e-16,8.373398e-16,8.135210e-16,8.032687e-16,7.970521e-16,8.205804e-16,8.345064e-16,8.386149e-16,8.474358e-16,8.445664e-16,8.625184e-16,8.549742e-16,8.527998e-16,8.517145e-16,8.505123e-16,8.504907e-16,8.402699e-16,8.428350e-16,8.395272e-16,8.404880e-16,8.443661e-16,8.450311e-16,8.455453e-16,8.431584e-16,8.428396e-16,8.410964e-16,8.394686e-16,8.408730e-16
driver-CR1-1000p-dec_payld-rlydd-attenuation_db,149.713436,149.698916,149.680142,149.659744,149.630087,149.688547,149.698889,149.613954,149.562399,149.477729,149.499200,149.500934,149.508415,149.564236,149.588393,149.607493,149.613495,149.580389,149.559368,149.553281,149.547690,149.546585,149.507552,149.518287,149.520335,149.528219,149.532761,149.536473,149.551471,149.555837,149.558171,149.552301,149.543821,149.539193,149.541938,149.540854,149.543154,149.546586,149.550550,149.545954
driver-CR1-1000p-dec_payld-rlydd-rx_power_mw,2.426014e-10,2.426558e-10,2.532934e-10,2.577595e-10,2.623049e-10,2.513930e-10,2.485446e-10,2.611821e-10,2.696701e-10,2.819596e-10,2.799855e-10,2.791722e-10,2.795973e-10,2.709579e-10,2.632503e-10,2.599326e-10,2.579210e-10,2.655346e-10,2.700410e-10,2.713705e-10,2.742249e-10,2.732963e-10,2.791055e-10,2.766642e-10,2.759606e-10,2.756094e-10,2.752204e-10,2.752134e-10,2.719060e-10,2.727361e-10,2.716657e-10,2.719766e-10,2.732315e-10,2.734467e-10,2.736131e-10,2.728407e-10,2.727375e-10,2.721734e-10,2.716467e-10,2.721012e-10
driver-CR1-1000p-dec_payld-rlydd-rx_power_dbm,-96.666401,-96.683324,-96.473095,-96.391356,-96.332203,-96.477494,-96.538456,-96.377835,-96.262496,-96.101736,-96.123725,-96.150057,-96.127291,-96.249734,-96.387720,-96.440587,-96.477604,-96.359879,-96.289262,-96.266535,-96.204521,-96.222608,-96.147459,-96.185370,-96.194895,-96.191308,-96.195279,-96.190791,-96.242644,-96.216383,-96.238235,-96.241576,-96.225185,-96.228300,-96.223282,-96.244338,-96.244912,-96.252618,-96.259058,-96.254546
driver-CR1-1000p-dec_payld-rlydd-noise_power_mw,9.642206e-12,9.642202e-12,9.642127e-12,9.642351e-12,9.642259e-12,9.642263e-12,9.642269e-12,9.642492e-12,9.642368e-12,9.642642e-12,9.642188e-12,9.642636e-12,9.642057e-12,9.642530e-12,9.642299e-12,9.642532e-12,9.642446e-12,9.642585e-12,9.642192e-12,9.642381e-12,9.642474e-12,9.642235e-12,9.642728e-12,9.642257e-12,9.642375e-12,9.642530e-12,9.642301e-12,9.642049e-12,9.642806e-12,9.642641e-12,9.641993e-12,9.642522e-12,9.642457e-12,9.642545e-12,9.642265e-12,9.642422e-12,9.642372e-12,9.642115e-12,9.642455e-12,9.642628e-12
driver-CR1-1000p-dec_payld-rlydd-total_power_mw,2.546427e-10,2.530213e-10,2.639561e-10,2.706773e-10,2.751867e-10,2.623337e-10,2.609190e-10,2.733346e-10,2.832926e-10,2.974969e-10,2.965556e-10,2.965768e-10,2.963006e-10,2.886976e-10,2.828862e-10,2.810832e-10,2.794979e-10,2.901935e-10,2.954835e-10,3.007094e-10,3.062364e-10,3.058262e-10,3.164110e-10,3.127968e-10,3.171004e-10,3.230040e-10,3.282337e-10,3.319971e-10,3.333497e-10,3.469461e-10,3.485925e-10,3.613897e-10,3.680924e-10,3.820884e-10,3.947627e-10,4.076060e-10,4.208980e-10,4.400570e-10,4.559109e-10,4.807087e-10
driver-CR1-1000p-dec_payld-rlydd-interference_mw,2.524085e-12,8.511179e-13,1.134573e-12,3.374668e-12,3.367341e-12,1.424028e-12,2.828796e-12,2.619260e-12,4.098307e-12,5.990896e-12,7.019372e-12,7.851974e-12,7.158691e-12,8.183586e-12,1.007767e-11,1.159766e-11,1.200552e-11,1.509783e-11,1.587862e-11,1.976124e-11,2.243680e-11,2.295924e-11,2.772439e-11,2.655097e-11,3.155518e-11,3.781099e-11,4.342314e-11,4.718728e-11,5.184381e-11,6.460383e-11,6.731719e-11,7.979925e-11,8.524500e-11,9.902070e-11,1.115254e-10,1.251373e-10,1.385312e-10,1.582515e-10,1.746306e-10,1.989720e-10
driver-CR1-1000p-dec_payld-rlydd-snr_db,13.491835,13.474914,13.685176,13.766814,13.826008,13.680716,13.619752,13.780272,13.895667,14.056304,14.034519,14.007985,14.031013,13.908356,13.770474,13.717502,13.680525,13.798186,13.868980,13.891622,13.953594,13.935614,14.010542,13.972843,13.963264,13.966782,13.962914,13.967516,13.915321,13.941657,13.920097,13.916518,13.932938,13.929784,13.934927,13.913801,13.913250,13.905659,13.899066,13.903500
driver-CR1-1000p-dec_payld-rlydd-sinr_db,13.141725,13.287432,13.514281,13.401375,13.436908,13.405520,13.207384,13.270104,13.299037,13.422258,13.146232,13.113224,13.073621,12.893750,12.407428,12.158894,12.202463,12.012837,11.953580,11.588740,11.394841,11.258809,11.013544,10.909101,10.500807,10.067745,9.579632,9.174714,8.746470,8.050342,7.719813,6.996581,6.667145,6.114318,5.385513,4.743086,4.198842,3.541330,3.044006,2.319582
